sub;pass;activity;math;cluster
205;0;-1126;-1705;3
206;0;-149;-1562;3
207;0;-654;-1297;3
208;0;217;-774;3
209;1;487;234;3
210;1;0,18;0,32;3
211;0;-1223;-146;3
212;0;-1043;-945;3
213;1;-2446;-2,01;3
214;0;-626;-534;3
215;1;-145;89;3
216;1;1113;-317;3
217;1;514;-174;3
218;1;-362;0,39;3
219;0;-286;1901;3
220;0;1084;-1813;3
221;0;589;-349;3
222;1;1611;1838;3
223;1;1014;129;3
224;0;146;343;3
225;0;-343;-1471;3
226;0;0,92;-1435;3
227;1;-62;-196;3
228;0;-103;-154;3
229;1;-127;-546;3
230;0;311;-1337;3
231;0;55;648;3
232;0;-906;-958;3
233;1;28;463;3
234;0;-1146;1335;3
235;0;1058;65;3
236;1;332;0,7;3
237;1;357;1,11;4
238;0;-2628;2161;4
239;0;1661;0,15;4
240;0;0,95;-2032;4
241;0;862;-1402;4
242;1;-1988;-1115;4
243;0;-403;612;4
244;0;-1136;35;4
245;0;41;1662;4
246;0;1372;-661;4
247;0;-621;343;4
248;1;0,28;904;4
249;1;626;-1,11;4
250;0;-335;514;4
251;0;0,47;-1517;4
252;0;-552;462;4
253;1;276;71;4
254;1;-0,36;-1491;4
255;0;-364;702;4
256;1;251;-753;4
257;0;-1509;317;4
258;0;-1505;-919;4
259;0;-91;-873;4
260;0;39;628;4
261;1;708;804;4
262;0;-211;-1274;4
263;1;548;-784;4
264;1;1227;-205;4
265;0;-241;1,22;4
266;1;376;417;4
267;0;-498;335;4
268;0;-1597;238;4
269;0;-1517;0,91;4
270;0;-684;603;4
271;0;-1209;297;4
272;0;-456;1451;4
273;1;0,72;-321;4
274;1;388;-961;4
275;0;-873;-165;4
276;0;-89;614;4
277;1;994;185;4
278;1;402;-743;4
279;0;-1,02;1843;4
280;0;647;-2,44;4
281;0;-0,58;1908;4
282;1;0,78;0,04;4
283;0;-1177;-1047;4
284;0;5;-0,12;4
285;1;2226;1092;4
286;0;-1191;2163;4
287;1;1136;105;4
288;1;1437;-2,02;4
289;0;-1233;-1094;4
290;1;-802;-1475;4
291;0;-677;-402;4
292;0;-1361;891;4
293;0;-915;1817;4
294;0;-385;-917;4
295;1;0,17;-0,77;4
296;1;2123;0,81;4
297;1;553;498;4
298;0;858;-1341;4
299;0;412;41;4
300;0;-88;1087;4
301;0;1292;-625;4
302;0;-24;-394;4
303;0;285;736;4
304;1;726;0,36;4
305;0;-489;-185;4
306;1;-0,12;-643;4
307;0;-1244;-467;4
308;0;-425;-3091;4
309;0;-87;-0,92;4
310;1;0,23;103;4
311;1;-24;-1504;4
312;1;-933;107;4
313;0;-1392;2961;4
314;0;1487;-667;4
315;0;-2447;1365;4
316;1;1273;-342;4
317;1;-193;1085;4
318;1;946;16;4
319;0;323;236;4
320;0;492;899;4
321;0;-1364;7;5
322;1;635;-457;5
323;0;-897;-1881;5
324;0;0,05;481;5
325;1;1132;642;5
326;0;596;262;5
327;0;-335;1083;5
328;0;-204;1711;5
329;0;1,66;-528;5
330;0;-826;296;5
331;1;-244;-551;5
332;1;0,03;-2171;5
333;0;-698;1655;5
334;0;-64;-181;5
335;0;-1121;0,38;5
336;0;492;1203;5
337;0;-0,71;2144;5
338;0;694;-0,84;5
339;0;958;908;5
340;0;-189;104;5
341;0;-1,46;-0,29;5
342;0;498;-374;5
343;1;-319;82;5
344;1;1698;1614;5
345;0;1553;-257;5
346;0;-698;276;5
347;0;-1787;1598;5
348;0;1704;-325;5
349;0;101;-1544;5
350;0;1131;1214;5
351;0;-382;-61;5
352;0;517;479;5
353;0;1085;1334;5
354;0;-1458;666;5
355;0;25;1272;5
356;1;1634;782;5
357;0;-0,35;461;5
358;0;-667;-509;5
359;0;107;441;5
360;0;-97;-1098;5
361;0;-745;956;5
362;0;-1,16;-1622;5
363;0;-313;2059;5
364;1;-347;-1872;5
365;0;-193;-0,41;5
366;1;855;-964;5
367;1;-1822;-1611;5
368;0;49;1071;5
369;0;-686;131;5
370;0;-178;-1102;5
371;0;-276;-937;5
372;1;-274;538;6
373;1;-1165;25;6
374;1;0,73;-184;6
375;1;-1899;-1079;6
376;0;-2128;1356;6
377;0;205;1114;6
378;1;792;701;6
379;1;-121;-1609;6
380;1;429;-1328;6
381;1;-1661;-1199;6
382;0;-1638;614;6
383;1;-1,41;-1965;6
384;1;1125;-289;6
385;1;907;-1812;6
386;1;-1333;-217;6
387;1;-607;-2186;6
388;1;203;-563;6
389;1;681;1,21;6
390;0;-485;1077;6
391;1;-515;352;6
392;0;-263;0,46;6
393;1;289;-1329;6
394;1;228;553;6
395;1;217;-222;6
396;1;-1733;-801;6
397;1;-597;-193;6
398;0;-1069;838;6
399;0;115;-333;6
400;1;1307;-1746;6
401;1;0,73;-1632;6
402;0;-686;1376;6
403;1;-1096;-1;6
404;1;-6;756;6
405;1;-65;-487;6
406;1;-667;738;6
407;0;-299;1025;6
408;1;-1038;-0,51;6
409;0;-353;1534;6
410;1;722;-781;6
411;1;-836;-0,38;6
412;1;54;-1695;6
413;1;248;1,06;6
414;0;-589;856;6
415;1;2093;-2321;6
416;1;401;-144;6
417;0;-461;1089;6
418;1;-679;-1474;6
419;0;203;1061;6
420;1;-1134;-235;6
421;1;71;-765;6
422;1;732;397;6
423;1;14;207;6
424;1;-941;197;6
425;1;39;-389;6
426;1;-1726;-193;6
427;1;138;-25;6
428;1;-514;-1,22;6
429;1;-905;-561;6
430;1;192;-58;6
431;1;-0,41;355;6
432;1;-1298;619;6
433;0;-1665;287;6
434;1;-581;-1556;6
435;1;123;-187;6
436;1;1055;113;6
437;1;1008;1546;6
438;1;694;121;6
439;1;-258;-1446;6
440;0;29;0,96;6
441;1;-336;315;6
442;1;1857;513;6
443;1;452;-344;6
444;1;631;-977;6
445;1;969;933;6
446;1;542;-621;6
447;1;1663;1038;6
448;1;226;-796;6
449;1;-708;-1,2;6
450;1;1592;516;6
451;1;119;-28;6
452;1;864;965;6
453;1;-653;-658;6
454;1;-91;-0,15;6
455;1;-756;572;6
456;1;157;903;6
457;1;148;-701;6
458;1;-667;421;6
459;0;3;42;6
460;0;-0,38;1712;6
461;1;371;-852;6
462;1;-1;379;6
463;1;86;-484;6
464;0;-2527;1,6;6
465;1;-111;1058;6
466;1;717;-849;6
467;0;-581;2314;6
468;1;339;-425;6
469;0;-1709;1652;6
470;0;278;43;7
471;0;668;281;7
472;1;588;609;7
473;0;0,24;-1004;7
474;0;-903;-471;7
475;0;1066;383;7
476;0;-835;2008;7
477;0;261;-0,17;7
478;0;-1533;592;7
479;0;-366;109;7
480;1;67;-244;7
481;1;-909;-235;7
482;1;787;259;7
483;0;-1116;-995;7
484;0;-313;521;7
485;1;1,07;-565;7
486;1;275;-802;7
487;0;1363;-167;7
488;1;-322;266;7
489;0;-251;782;7
490;1;-1233;-2282;7
491;1;-12;1057;7
492;0;1584;-161;7
493;0;-1;1355;7
494;0;86;-1537;7
495;1;267;1925;7
496;0;-299;38;7
497;0;-1531;705;7
498;0;-332;938;7
499;1;-7;-109;7
500;0;-662;-478;7
501;1;1611;1086;7
502;0;-1181;1279;7
503;0;-234;1281;7
504;1;0,32;-274;7
505;0;-741;-282;7
506;0;-788;1051;7
507;0;374;-0,48;7
508;0;-354;-0,18;7
509;0;-522;608;7
510;1;215;-0,43;7
511;0;-74;1119;7
512;1;432;2237;7
513;0;-464;1258;7
514;0;832;351;7
515;1;-1342;-794;7
516;0;442;1274;7
517;0;0,45;61;7
518;1;811;-0,47;7
519;1;1905;-702;7
520;0;0,69;-746;7
521;0;-3,06;322;7
522;0;-184;-2374;8
523;1;1734;137;8
524;0;-615;138;8
525;1;433;1977;8
526;0;1907;-1646;8
527;0;-432;286;8
528;1;0,37;1197;8
529;0;135;646;8
530;0;2062;-1778;8
531;0;-1345;914;8
532;0;-554;303;8
533;1;813;724;8
534;0;-106;-641;8
535;0;1075;-626;8
536;0;-0,01;-1438;8
537;0;189;-191;8
538;0;383;953;8
539;0;417;-1178;8
540;0;1632;688;8
541;0;65;-0,51;8
542;0;-532;-531;8
543;0;337;1,31;8
544;0;345;-1501;8
545;1;-0,13;329;8
546;0;-269;-124;8
547;0;795;-1665;8
548;0;-62;1085;8
549;0;-936;115;8
550;0;-61;-886;8
551;0;627;535;8
552;0;-1362;-1439;8
553;0;-535;-365;8
554;0;825;-1,27;8
555;0;942;-1714;8
556;0;-867;-808;8
557;0;-1399;-1458;8
558;0;-122;-1553;8
559;1;1852;641;8
560;0;-461;529;8
561;1;2161;437;8
562;0;1081;-166;8
563;0;-493;-272;8
564;0;827;388;8
565;0;57;-111;8
566;0;-1318;-274;8
567;0;507;-1034;8
568;1;1331;813;8
569;1;985;1268;8
570;0;-391;-1,05;8
571;0;218;581;8
572;0;-557;312;8
573;0;0,42;-1045;8
574;0;-16;-179;8
575;0;-129;787;8
576;0;932;-518;8
577;1;426;459;8
578;1;-311;659;8
579;0;626;-2004;8
580;0;-208;-1205;8
581;0;472;285;8
582;0;758;684;8
583;0;144;2;8
584;0;-772;146;8
585;0;-0,24;-1176;8
586;0;-489;922;8
587;0;13;492;8
588;1;-0,17;2241;8
589;1;413;328;8
590;0;285;324;8
591;0;-144;545;8
592;0;685;392;8
593;0;-389;-1524;8
594;0;-792;359;8
595;1;403;1369;8
596;0;244;-1007;8
597;0;148;766;8
598;0;-683;1,29;8
599;0;-455;664;8
600;0;1142;37;8
601;0;1762;28;8
602;1;1112;697;8
603;0;-1043;-1258;8
604;0;-261;0,12;8
605;0;111;1488;8
606;0;-1374;-1092;8
607;0;-2127;-1987;8
608;0;-441;952;8
609;1;1517;2483;9
610;0;-693;197;9
611;1;-86;-1724;9
612;1;763;-369;9
613;0;108;926;9
614;1;0,74;362;9
615;0;-644;855;9
616;1;-1123;-1295;9
617;0;-73;547;9
618;0;-276;259;9
619;0;-595;1949;9
620;1;492;-306;9
621;0;-963;-88;9
622;0;-323;425;9
623;0;-0,13;1175;9
624;1;602;-203;9
625;1;-74;-2103;9
626;0;-465;215;9
627;1;137;77;9
628;0;-833;605;9
629;0;313;22;9
630;0;-626;326;9
631;0;1928;639;9
632;0;444;734;9
633;1;-176;-1,79;9
634;0;-2428;664;9
635;0;-2,09;1955;9
636;1;-177;725;9
637;0;1552;337;9
638;0;-769;-39;9
639;0;528;-161;9
640;0;-555;1228;9
641;0;-1761;738;9
642;1;568;-147;9
643;0;974;-823;9
644;1;0,38;36;9
645;0;625;721;9
646;0;0,38;2162;9
647;0;-917;1658;9
648;0;-277;-38;9
649;0;727;-495;9
650;1;-149;-806;9
651;0;-598;934;9
652;0;-1957;242;9
653;1;57;-2097;9
654;1;0,28;-268;9
655;1;1542;999;9
656;1;1,27;-481;9
657;0;371;371;9
658;0;-1278;-421;9
659;1;-1,17;-1834;9
660;0;-775;-74;9
661;0;-381;839;9
662;1;-803;-654;9
663;0;-447;-45;9
664;0;-137;-547;9
665;0;2636;-742;9
666;0;113;-1126;9
667;1;912;-251;9
668;0;-395;127;9
669;0;-1358;586;9
670;0;-433;-0,6;9
671;0;93;666;9
672;0;-907;-1389;9
673;1;978;-24;9
674;0;-261;367;9
675;0;0,07;-191;9
676;1;922;0,1;9
677;1;-1063;0,77;9
678;0;-1275;-243;9
679;0;-1699;-0,39;9
680;0;-2168;5;9
681;1;626;-1666;9
682;0;1684;508;10
683;0;808;-153;10
684;0;2365;-313;10
685;0;1431;-212;10
686;0;0,11;-1178;10
687;0;-1094;-259;10
688;0;0,28;-0,08;10
689;0;-171;44;10
690;0;681;-244;10
691;0;-765;1,86;10
692;0;-1272;1,75;10
693;0;-522;-807;10
694;0;-1463;-0,23;10
695;0;726;-427;10
696;0;105;-2017;10
697;0;-56;97;10
698;1;-1,69;-1222;10
699;0;-447;-1279;10
700;0;-434;-552;10
701;0;-912;-512;10
702;1;285;0,63;10
703;0;815;-1207;10
704;0;585;-266;10
705;0;183;-526;10
706;0;306;-543;10
707;0;-88;-892;10
708;0;1365;-1701;10
709;0;-323;0,59;10
710;0;406;-1271;10
711;1;2697;0,35;10
712;0;1164;-539;10
713;1;1045;527;10
714;0;1594;-1531;10
715;1;1,45;438;10
716;0;-354;-826;10
717;0;-399;366;10
718;0;1303;1335;10
719;0;2524;-112;10
720;0;-343;205;10
721;0;335;497;10
722;0;229;878;10
723;0;-115;444;10
724;0;-514;1495;10
725;0;801;871;10
726;0;-42;2974;10
727;0;1,6;-168;10
728;0;-455;-0,79;10
729;0;-472;25;10
730;1;179;-869;10
731;0;-322;-376;10
732;0;248;-822;10
733;0;1,93;-0,34;10
734;0;-2163;382;10
735;1;1889;1188;10
736;0;408;-579;10
737;0;1832;893;10
738;0;-506;-467;10
739;0;639;-1051;10
740;0;-992;313;10
741;0;-96;1941;10
742;0;-728;-2901;10
743;0;-712;591;10
744;0;1314;-372;10
745;1;1225;444;10
746;0;245;817;10
747;0;-474;419;10
748;0;525;0,24;10
749;0;344;212;10
750;0;1175;-84;10
751;0;228;1,44;10
752;0;-541;-1389;10
753;0;14;8;10
754;0;207;-1675;10
755;0;-1,62;366;10
756;1;-1804;-1754;10
757;0;494;-134;10
758;1;-32;-454;11
759;1;1341;-1778;11
760;1;766;-1411;11
761;1;-173;-1006;11
762;1;1357;-0,44;11
763;0;-306;1942;11
764;0;73;1029;11
765;1;-859;-2516;11
766;0;-1239;-901;11
767;1;1754;-2158;11
768;1;1257;1526;11
769;0;-1838;-407;11
770;1;367;-547;11
771;0;0,53;-26;11
772;0;-1226;963;11
773;1;-1386;-1,03;11
774;1;1422;-0,27;11
775;0;0,6;-992;11
776;1;1,61;848;11
777;1;-0,3;-1426;11
778;1;-3;-0,46;11
779;1;1212;-1,3;11
780;0;325;1;11
781;0;-626;-7;11
782;1;-2396;-1054;11
783;0;-402;2128;11
784;1;234;-867;11
785;1;-601;-1058;11
786;1;357;-1213;11
787;1;1282;117;11
788;1;857;-174;11
789;0;-723;197;11
790;1;1701;-0,93;11
791;0;-213;129;11
792;1;-908;-0,73;11
793;0;143;886;11
794;1;-232;-575;11
795;1;1,68;-117;11
796;1;-1326;-619;11
797;0;686;-88;11
798;0;-239;-115;11
799;0;-929;1,02;11
800;1;-294;-1265;11
801;0;299;-575;11
802;1;-1202;-535;11
803;1;1,24;-376;11
804;0;-1457;-0,17;11
805;0;-402;979;11
806;0;-1138;-91;11
807;1;-1149;-332;11
808;0;1334;1081;11
809;1;1503;-203;11
810;1;-372;-0,83;11
811;1;-455;-567;11
812;0;727;1811;11
813;0;-657;167;11
814;1;-408;-422;11
815;0;-1266;-207;11
816;0;-1997;0,11;11
817;0;979;561;11
818;1;528;43;11
819;1;484;-1361;11
820;1;-301;-1,95;12
821;1;0,17;-0,02;12
822;1;979;-1093;12
823;1;2,32;0,46;12
824;0;-232;1707;12
825;1;763;-1,98;12
826;1;2607;603;12
827;1;-1098;-225;12
828;1;1992;-74;12
829;1;-761;-654;12
830;1;-284;59;12
831;1;-855;-1712;12
832;1;743;-787;12
833;1;-1977;-392;12
834;0;-391;2249;12
835;1;-674;-53;12
836;1;-631;-397;12
837;1;-1091;1775;12
838;1;456;-502;12
839;1;-3;-1,16;12
840;1;121;-522;12
841;0;-1755;1537;12
842;1;46;7;12
843;1;972;-1,2;12
844;1;-1207;-469;12
845;1;705;1036;12
846;0;-1229;1,16;12
847;1;-442;-1158;12
848;1;-781;-55;12
849;1;-1345;-713;12
850;1;905;716;12
851;0;-1162;1194;12
852;1;833;-11;12
853;1;-344;-1153;12
854;1;824;-1048;12
855;0;-1049;906;12
856;1;-917;-1083;12
857;1;-0,17;-546;12
858;1;24;-769;12
859;0;-1,15;0,9;12
860;1;345;44;12
861;1;-1688;194;12
862;1;2409;592;12
863;1;-205;-2079;12
864;1;-413;-1931;12
865;1;0,18;825;12
866;1;336;-1379;12
867;1;-934;516;12
868;1;-325;259;12
869;1;-74;535;12
870;1;66;641;12
871;1;902;1505;12
872;1;24;804;12
873;1;-292;1092;12
874;1;623;1039;12
875;1;-85;-986;12
876;1;-91;-1842;12
877;1;1328;839;12
878;1;378;0,78;12
879;0;-1017;1986;12
880;1;105;-0,03;12
881;1;1818;-677;12
882;1;468;1131;12
883;0;-1,69;1,08;12
884;1;1553;-633;12
885;1;-717;1423;12
886;1;-2;92;12
887;1;-294;-188;12
888;1;-761;-833;12
889;1;232;117;12
890;1;0,77;-0,65;12
891;1;987;501;12
892;1;1298;782;12
893;0;-1021;1,47;12
894;1;398;0,98;12
895;1;1635;0,14;12
896;1;1591;-735;12
897;1;705;1,22;12
898;1;1036;1054;12
899;1;671;-462;12
900;1;-574;253;12
901;1;1868;-1938;12
902;1;-123;-879;12
903;1;152;-956;12
904;0;568;-1551;12
905;1;-43;-1352;12
906;1;463;-1,37;12
907;1;163;742;12
908;1;1133;707;12
909;1;574;-746;12
910;1;-1,68;-686;12
911;0;-658;1165;13
912;0;229;1;13
913;1;658;-0,26;13
914;0;-467;288;13
915;0;1569;1,18;13
916;0;373;285;13
917;0;-2124;0,06;13
918;0;0,59;234;13
919;1;-1046;-1125;13
920;0;83;-418;13
921;1;1278;28;13
922;0;-1162;189;13
923;1;-1904;-0,51;13
924;0;-1445;908;13
925;1;1541;-338;13
926;0;-1659;-843;13
927;0;-797;75;13
928;1;1997;1,6;13
929;1;624;89;13
930;0;-176;0,8;13
931;0;-247;-1155;13
932;1;1129;-1,23;13
933;1;-22;-1674;13
934;0;-295;1,64;13
935;0;994;-136;13
936;1;-2223;-1605;13
937;0;-1956;1076;13
938;0;589;378;13
939;1;-904;-534;13
940;1;1735;-1253;13
941;1;2202;-1304;13
942;0;-1098;-244;13
943;0;-71;146;13
944;0;1297;771;13
945;0;-975;-653;13
946;0;1389;-321;13
947;0;-894;1497;13
948;0;-0,66;268;13
949;0;-1558;681;13
950;0;-1237;-198;13
951;0;419;311;13
952;1;-633;-617;13
953;0;-623;1484;13
954;0;1294;61;13
955;1;-1479;-2183;13
956;0;-274;1677;13
957;0;-1146;703;13
958;0;-243;-0,42;13
959;1;-405;-791;13
960;0;-817;82;13
961;1;228;-274;13
962;0;-88;-914;13
963;0;-77;-442;13
964;0;-824;-0,09;13
965;0;-735;839;13
966;0;-1657;1578;13
967;1;-12;918;13
968;0;-18;-116;13
969;0;1153;565;13
970;0;-756;121;13
971;0;-742;-702;13
972;0;-1764;-456;13
973;1;798;-196;13
974;1;-601;-771;13
975;0;-226;661;13
976;1;-34;-321;13
977;0;-1535;1382;13
978;1;1013;-903;13
979;0;-228;995;13
980;0;-433;-1226;13
981;0;-1873;-405;13
982;1;567;2,07;14
983;1;1596;-593;14
984;1;959;-1592;14
985;0;775;153;14
986;0;-919;505;14
987;1;-667;-441;14
988;1;904;51;14
989;1;1,39;-977;14
990;1;1845;537;14
991;1;-765;-1838;14
992;1;512;-1,04;14
993;0;-762;784;14
994;1;538;-693;14
995;1;542;-466;14
996;1;-151;-249;14
997;0;-1488;374;14
998;1;704;389;14
999;1;2,46;1427;14
1000;0;-2066;2131;14
1001;1;-1468;-141;14
1002;0;-721;1,21;14
1003;1;-358;-833;14
1004;1;-838;26;14
1005;1;709;574;14
1006;1;421;494;14
1007;1;128;-1543;14
1008;1;211;-614;14
1009;0;-1414;1264;14
1010;1;1693;-251;14
1011;1;-1804;-1;14
1012;1;-772;-0,82;14
1013;1;1632;122;14
1014;1;1793;2199;14
1015;1;1464;-1468;14
1016;1;937;-301;14
1017;1;-822;-741;14
1018;0;-151;0,47;14
1019;1;1062;-528;14
1020;1;951;1315;14
1021;1;-534;316;14
1022;1;-786;-804;14
1023;0;-2,8;-0,27;14
1024;1;-1145;-1156;14
1025;1;1324;447;14
1026;1;-1778;-0,16;14
1027;1;-0,79;-1294;14
1028;1;138;839;14
1029;0;343;-54;14
1030;0;-562;706;14
1031;1;413;-666;14
1032;0;-273;1031;14
1033;0;-2056;731;14
1034;1;1282;1816;14
1035;1;1278;-878;14
1036;1;-1096;-677;14
1037;1;591;-115;14
1038;1;-596;-1235;14
1039;0;-1304;1006;14
1040;1;-331;-2117;14
1041;1;688;-1216;14
1042;1;-706;-2465;14
1043;1;3509;609;14
1044;0;-418;769;14
1045;1;-1368;-661;14
1046;1;1133;-1458;14
1047;1;2337;171;14
1048;1;2032;-219;14
1049;1;435;12;14
1050;1;1792;-246;14
1051;0;-16;2404;14
1052;1;-543;-1972;14
1053;0;-757;1277;14
1054;1;1445;0,64;14
1055;1;-618;-764;14
1056;1;68;-443;14
1057;1;-1403;129;14
1058;1;418;-443;14
1059;0;-1067;412;14
1060;1;2436;-1164;14
1061;1;933;-1641;14
1062;1;238;-304;14
1063;1;142;561;14
1064;1;-801;-1,08;14
1065;1;825;-493;14
1066;1;-203;-226;14
1067;1;285;-1064;14
1068;1;318;0,11;14
1069;1;793;1081;14
1070;1;683;-992;14
1071;1;1592;1372;14
1072;0;-718;0,52;14
1073;1;572;-622;14
1074;0;-327;-72;14
1075;1;1227;-949;14
1076;1;924;202;14
1077;1;0,21;588;14
1078;0;-44;-415;15
1079;0;1091;-517;15
1080;0;-803;842;15
1081;1;247;1325;15
1082;0;-1,68;843;15
1083;1;783;-447;15
1084;0;-9;1553;15
1085;0;-479;-873;15
1086;0;-0,51;4;15
1087;0;-0,69;1,28;15
1088;0;-857;-281;15
1089;1;-828;-1955;15
1090;0;0,21;1,22;15
1091;1;824;-591;15
1092;1;1103;-873;15
1093;1;1311;-659;15
1094;0;801;43;15
1095;1;936;-833;15
1096;0;-229;961;15
1097;1;-0,87;-587;15
1098;1;284;-657;15
1099;0;1217;664;15
1100;1;472;-1,36;15
1101;0;-1537;-0,6;15
1102;0;-519;-198;15
1103;0;25;793;15
1104;0;1184;-838;15
1105;1;-411;-2807;15
1106;0;-2369;-605;15
1107;0;-909;0,18;15
1108;1;2084;2327;15
1109;1;99;-905;15
1110;0;811;1023;15
1111;0;-161;-655;15
1112;0;-441;0,28;15
1113;0;-1213;1228;15
1114;0;-1485;1257;15
1115;0;487;0,17;15
1116;0;462;0,15;15
1117;0;284;1,28;15
1118;0;938;1389;15
1119;0;-0,56;619;15
1120;0;-1366;118;15
1121;0;-104;255;15
1122;1;-209;-1935;15
1123;0;1,14;-389;15
1124;0;154;-171;15
1125;1;1765;-1098;15
1126;0;-108;527;15
1127;0;-827;547;15
1128;0;1248;273;15
1129;1;794;396;15
1130;1;-708;-1405;15
1131;0;546;-22;15
1132;0;197;645;15
1133;0;118;465;15
1134;0;-392;-344;15
1135;0;-914;467;15
1136;1;302;-1662;15
1137;0;802;-338;15
1138;0;-1167;-1345;15
1139;0;767;-25;15
1140;0;-1087;2258;15
1141;1;-574;-397;15
1142;0;0,9;-0,36;15
1143;1;-764;-0,22;16
1144;1;58;1512;16
1145;0;1862;-1988;16
1146;1;-327;901;16
1147;1;-15;149;16
1148;1;677;972;16
1149;1;-979;796;16
1150;1;1,04;315;16
1151;1;-377;217;16
