"";"pass";"math";"activity";"school"
"322";1;0,152;-0,682;"5"
"323";1;-1,509;0,09;"5"
"324";1;-0,067;2,225;"5"
"325";1;0,523;-0,771;"5"
"326";0;-0,399;-2,407;"5"
"327";1;0,01;0,326;"5"
"328";0;-0,768;-1,21;"5"
"329";0;-0,992;0,874;"5"
"330";1;0,103;-0,104;"5"
"331";1;-0,5;0,379;"5"
"332";1;-0,371;-1,921;"5"
"333";0;0,212;-0,622;"5"
"334";0;0,201;-1,197;"5"
"335";1;-0,124;0,559;"5"
"336";1;0,607;-0,07;"5"
"337";0;-0,055;-1,245;"5"
"338";1;-0,509;1,005;"5"
"339";1;-0,634;0,232;"5"
"340";1;1,232;0,835;"5"
"341";1;-0,437;-1,611;"5"
"342";1;0,255;1,158;"5"
"343";1;0,18;1,777;"5"
"344";1;1,154;-0,785;"5"
"345";1;0,829;0,609;"5"
"346";1;-0,874;1,989;"5"
"347";1;-0,093;-0,53;"5"
"348";1;0,061;0,748;"5"
"349";0;0,322;-1,166;"5"
"350";0;-0,898;-0,749;"5"
"351";1;0,889;-1,371;"5"
"352";0;-0,972;-1,794;"5"
"353";0;0,059;-0,814;"5"
"354";1;0,339;-0,255;"5"
"355";0;-0,648;-0,858;"5"
"356";1;-0,374;-0,438;"5"
"357";1;1,137;1,526;"5"
"358";0;-0,337;-0,72;"5"
"359";1;-0,279;1,785;"5"
"360";1;-0,168;1,435;"5"
"361";1;0,379;0,561;"5"
"362";1;-0,376;0,342;"5"
"363";1;1,275;-1,008;"5"
"364";0;-2,972;0,152;"6"
"365";1;-1,028;-0,071;"6"
"366";1;0,026;-1,818;"6"
"367";1;-1,367;-0,331;"6"
"368";1;1,814;-1,119;"6"
"369";1;0,272;-0,147;"6"
"370";1;-0,636;-0,537;"6"
"371";1;0,15;-1,628;"6"
"372";1;0,74;0,63;"6"
"373";1;-0,422;-1,287;"6"
"374";0;-1,296;0,504;"6"
"375";1;0,208;-0,808;"6"
"376";0;0,706;1,836;"6"
"377";1;1,104;-0,082;"6"
"378";1;-0,325;-0,084;"6"
"379";1;1,277;-0,935;"6"
"380";0;0,374;1,86;"6"
"381";1;-0,774;-0,211;"6"
"382";0;-0,422;1,962;"6"
"383";0;0,633;1,097;"6"
"384";1;2,072;0,402;"6"
"385";1;-0,327;0,218;"6"
"386";1;0,581;1,949;"6"
"387";1;0,366;-1,502;"6"
"388";1;0,603;-0,842;"6"
"389";1;-0,945;-2,055;"6"
"390";0;0,304;3,648;"6"
"391";1;-0,083;-1,21;"6"
"392";1;-0,263;0,715;"6"
"393";1;-1,005;-0,966;"6"
"394";1;0,079;-0,343;"6"
"395";1;0,683;-1,067;"6"
"396";1;-1,103;0,295;"6"
"397";1;-0,856;-0,422;"6"
"398";1;-0,931;0,111;"6"
"399";0;-0,409;0,27;"6"
"400";1;2,165;-0,681;"6"
"401";1;-0,968;1,433;"6"
"402";1;-1,083;-0,86;"6"
"403";0;1,183;0,65;"6"
"404";1;1,374;1,213;"6"
"405";1;0,813;0,666;"6"
"406";1;0,45;1,566;"6"
"407";1;-1,57;-0,501;"6"
"408";1;0,944;-0,78;"6"
"409";1;-0,289;0,126;"6"
"410";1;-1,256;-0,671;"6"
"411";0;-0,331;0,783;"6"
"412";1;-0,65;-0,406;"6"
"413";1;0,932;0,541;"6"
"414";0;-0,111;1,821;"6"
"415";1;1,025;0,396;"6"
"416";1;0,569;-1,286;"6"
"417";1;1,052;0,198;"6"
"418";1;-0,089;-0,172;"6"
"419";1;-0,579;-0,758;"6"
"420";1;-0,076;-1,131;"6"
"421";1;0,733;-1,011;"6"
"422";1;0,207;-0,358;"6"
"423";1;1,736;-0,6;"6"
"424";1;-1,508;-0,038;"6"
"425";1;0,886;-0,349;"6"
"426";1;0,102;-0,625;"6"
"427";0;-0,201;0,307;"6"
"428";1;1,291;-0,065;"6"
"429";1;-0,084;0,645;"6"
"430";1;-0,592;-3,909;"6"
"431";0;0,198;1,503;"6"
"432";1;-0,188;-1,074;"6"
"433";1;1,061;0,865;"6"
"434";1;-1,5;-0,168;"6"
"435";0;-4,168;0,574;"6"
"436";1;-2,11;-3,818;"7"
"437";1;0,192;1,435;"7"
"438";1;0,547;-0,211;"7"
"439";1;0,942;-0,893;"7"
"440";1;1,038;0,212;"7"
"441";1;-0,179;-0,856;"7"
"442";1;1,653;0,766;"7"
"443";0;0,845;0,519;"7"
"444";1;0,296;0,024;"7"
"445";1;0,666;-0,192;"7"
"446";1;-0,733;-0,046;"7"
"447";0;0,923;-0,018;"7"
"448";1;-0,113;-0,677;"7"
"449";0;-1,777;-1,05;"7"
"450";0;-0,839;-0,102;"7"
"451";0;1,499;2,192;"7"
"452";1;-1,199;-0,767;"7"
"453";1;-0,592;0,65;"7"
"454";1;1,279;-0,543;"7"
"455";0;0,571;1,42;"7"
"456";1;1,168;1,364;"7"
"457";1;0,226;-1,877;"7"
"458";1;-0,696;0,602;"7"
"459";1;-0,384;-0,763;"7"
"460";0;0,273;1,135;"7"
"461";1;-0,007;0,629;"7"
"462";1;1,926;0,1;"7"
"463";1;1,562;0,052;"7"
"464";0;-0,517;-0,67;"7"
"465";0;-0,384;1,553;"7"
"466";1;0,474;-1,365;"7"
"467";1;-0,709;0,4;"7"
"468";1;0,225;1,218;"7"
"469";0;-0,133;0,12;"7"
"470";0;0,255;0,455;"7"
"471";1;-0,501;-0,761;"7"
"472";1;-1,28;-1,029;"7"
"473";1;-0,474;-0,514;"7"
"474";1;1,436;-0,03;"7"
"475";0;0,941;1,446;"7"
"476";1;-0,001;-0,34;"7"
"477";0;0,114;0,713;"7"
"478";0;-0,641;1,178;"7"
"479";1;1,459;0,194;"7"
"480";0;-0,854;-0,215;"7"
"481";1;0,019;0,074;"7"
"482";0;-0,544;0,712;"7"
"483";1;1,662;0,252;"7"
"484";1;0,23;0,529;"7"
"485";0;0,984;0,474;"7"
"486";1;-0,485;-0,36;"7"
"487";1;0,367;-1,042;"7"
"488";1;0,151;0,513;"7"
"489";1;-1,332;-0,055;"7"
"490";1;-0,012;-0,534;"7"
"491";1;-0,04;-0,621;"7"
"492";1;0,123;-0,626;"7"
"493";1;-0,674;-0,34;"7"
"494";1;-1,426;0,485;"7"
"495";1;-0,463;-1,589;"7"
"496";1;0,111;-1,432;"7"
"497";1;-0,919;-0,352;"7"
"498";0;-0,714;2,055;"7"
"499";1;-0,787;-0,242;"7"
"500";1;-1,101;-0,437;"7"
"501";0;-0,068;0,805;"7"
"502";0;-0,257;-0,586;"7"
"503";1;0,625;1,446;"7"
"504";0;-0,782;0,93;"7"
"505";1;0,864;-0,897;"7"
"506";0;-0,895;1,253;"7"
"507";1;0,184;-0,404;"7"
"508";0;-0,26;0,51;"7"
"509";0;0,29;0,748;"7"
"510";1;0,109;0,636;"7"
"511";0;-1,409;-0,429;"7"
"512";1;-0,479;-1,171;"7"
"513";1;-1,508;-1,031;"7"
"514";1;0,182;-1,351;"7"
"515";1;2,081;-0,715;"7"
"516";0;-0,002;1,747;"7"
"517";1;-1,427;0,513;"7"
"518";0;-0,305;-0,326;"8"
"519";1;-0,537;-0,292;"8"
"520";0;0,555;-1,317;"8"
"521";0;-0,578;-1,998;"8"
"522";1;1,478;-0,711;"8"
"523";1;-0,041;-0,133;"8"
"524";1;1,299;2,13;"8"
"525";0;1,16;-0,908;"8"
"526";0;0,026;-0,156;"8"
"527";1;0,121;1,787;"8"
"528";1;1,368;0,79;"8"
"529";1;-0,903;0,739;"8"
"530";1;0,05;0,418;"8"
"531";1;0,254;0,291;"8"
"532";1;1,306;0,495;"8"
"533";1;-0,139;0,045;"8"
"534";1;0,588;0,643;"8"
"535";1;-1,046;-0,57;"8"
"536";1;-2,442;0,334;"8"
"537";0;-0,155;-0,47;"8"
"538";1;-1,025;-0,193;"8"
"539";1;-0,332;0,2;"8"
"540";1;0,435;1,271;"8"
"541";1;-0,968;0,907;"8"
"542";1;0,033;1,188;"8"
"543";0;-0,439;-1,692;"8"
"544";1;0,202;-0,326;"8"
"545";0;0,198;-0,521;"8"
"546";1;-1,002;1,457;"8"
"547";0;0,023;-1,29;"8"
"548";1;-0,897;0,319;"8"
"549";0;0,342;-1,418;"8"
"550";1;-0,633;0,74;"8"
"551";1;-0,068;-0,74;"8"
"552";1;-0,066;-0,622;"8"
"553";1;-1,585;1,425;"8"
"554";1;-1,546;0,851;"8"
"555";0;1,439;-0,79;"8"
"556";0;0,157;-1,08;"8"
"557";0;0,31;-0,683;"8"
"558";0;1,059;-0,886;"8"
"559";1;-0,677;0,028;"8"
"560";1;-0,342;0,674;"8"
"561";1;-1,915;-0,585;"8"
"562";1;1,3;-0,118;"8"
"563";0;-0,181;-0,526;"8"
"564";1;0,342;0,771;"8"
"565";1;-0,102;-0,745;"8"
"566";1;2,567;1,542;"8"
"567";0;0,068;-1,323;"8"
"568";0;-0,006;-1,805;"8"
"569";1;0,245;0,224;"8"
"570";1;-0,316;-0,994;"8"
"571";1;-0,626;0,092;"8"
"572";1;0,949;1,22;"8"
"573";1;1,316;-0,214;"8"
"574";1;-1,561;0,879;"8"
"575";0;0,511;-0,163;"8"
"576";1;0,239;-0,177;"8"
"577";1;-0,385;1,025;"8"
"578";0;-1,433;-1,643;"8"
"579";0;-1,463;1,009;"8"
"580";1;-0,519;0,793;"8"
"581";1;1,378;-0,771;"8"
"582";0;-1,547;-1,37;"8"
"583";1;-1,816;-0,153;"8"
"584";1;-0,844;-0,47;"8"
"585";0;1,316;-2,1;"8"
"586";1;-1,364;-0,127;"8"
"587";1;0,134;0,889;"8"
"588";1;-2,091;1,052;"8"
"589";1;-0,093;-0,912;"8"
"590";0;-0,719;-1,176;"8"
"591";1;0,244;0,192;"8"
"592";0;-0,029;-0,803;"8"
"593";0;0,863;-1,173;"8"
"594";1;0,122;0,265;"8"
"595";1;1,028;0,115;"8"
"596";1;0,307;1,593;"8"
"597";1;1,057;-0,248;"8"
"598";1;-0,506;0,288;"8"
"599";0;1,473;-0,788;"8"
"600";0;0,053;-0,345;"8"
"601";1;0,138;0,045;"8"
"602";1;-0,183;0,582;"8"
"603";1;0,764;0,634;"8"
"604";1;-1,418;0,425;"8"
"605";1;-0,466;0,13;"8"
"606";1;-2,226;0,121;"8"
"607";1;-1,64;0,248;"9"
"608";1;0,564;0,553;"9"
"609";1;1,063;-1,511;"9"
"610";1;-0,455;-0,586;"9"
"611";1;-1,539;-0,446;"9"
"612";1;1,001;0,519;"9"
"613";1;1,865;0,801;"9"
"614";1;-0,573;-0,113;"9"
"615";1;-1,034;-0,057;"9"
"616";1;1,159;-1,374;"9"
"617";1;0,189;-2,612;"9"
"618";0;0,746;-0,118;"9"
"619";1;-0,261;-0,351;"9"
"620";1;1,603;-1,285;"9"
"621";1;-0,607;2,301;"9"
"622";1;-1,258;-1,24;"9"
"623";1;0,408;-0,695;"9"
"624";1;-0,397;-0,083;"9"
"625";1;-0,163;0,139;"9"
"626";1;-1,617;0,11;"9"
"627";1;-0,507;0,958;"9"
"628";0;0,753;-0,311;"9"
"629";1;-0,9;0,266;"9"
"630";1;0,734;-0,172;"9"
"631";1;1,883;-0,695;"9"
"632";1;1,004;0,28;"9"
"633";1;0,82;1,071;"9"
"634";1;0,834;-0,62;"9"
"635";0;-2,313;-0,064;"9"
"636";0;-1,242;-0,371;"9"
"637";0;-2,478;0,875;"9"
"638";1;-0,616;1,499;"9"
"639";0;-0,369;1,135;"9"
"640";1;-0,427;-1,602;"9"
"641";1;0,516;-0,157;"9"
"642";1;-1,058;-0,005;"9"
"643";1;-0,444;-0,099;"9"
"644";0;-0,112;1,331;"9"
"645";1;1,269;-0,182;"9"
"646";1;0,355;-0,267;"9"
"647";1;0,117;0,505;"9"
"648";1;-0,695;1,359;"9"
"649";1;0,769;-0,192;"9"
"650";1;0,125;-1,202;"9"
"651";1;0,458;0,17;"9"
"652";1;-0,258;-0,893;"9"
"653";1;-0,137;0,779;"9"
"654";1;-0,489;-0,738;"9"
"655";1;0,922;0,043;"9"
"656";1;-1,247;-0,254;"9"
"657";1;1,644;-0,894;"9"
"658";0;-0,698;-0,81;"9"
"659";1;-0,021;-0,011;"9"
"660";1;-0,458;-1,676;"9"
"661";1;-1,56;0,548;"9"
"662";1;-0,129;0,721;"9"
"663";1;0,494;-0,157;"9"
"664";1;-1,58;-0,759;"9"
"665";0;-1,568;0,295;"9"
"666";1;0,598;-0,211;"9"
"667";1;0,069;0,462;"9"
"668";1;1,371;0,215;"9"
"669";1;-0,342;-0,914;"9"
"670";1;1,233;-0,924;"9"
"671";1;-1,433;-0,701;"9"
"672";1;0,748;-0,078;"9"
"673";0;0,525;0,033;"9"
"674";1;1,383;0,7;"9"
"675";1;1,436;1,907;"9"
"676";1;-0,262;0,858;"9"
"677";1;-0,839;0,425;"9"
"678";1;0,168;0,867;"9"
"679";1;-2,509;0,616;"9"
"680";1;0,715;-0,334;"9"
"681";1;1,871;-0,111;"9"
"682";1;1,068;0,148;"9"
"683";1;-0,281;0,424;"9"
"684";1;-1,073;-0,318;"9"
"685";1;0,016;0,1;"9"
"686";1;-0,273;0,641;"9"
"687";1;1,633;1,129;"9"
"688";1;-0,1;0,746;"9"
"689";1;-0,25;0,864;"9"
"690";1;0,375;2,099;"9"
"691";1;-0,516;0,375;"9"
"692";1;0,011;0,694;"9"
"693";1;0,105;-0,686;"9"
"694";1;-1,559;-0,648;"9"
"695";1;1,281;0,133;"9"
"696";1;-0,146;0,056;"9"
"697";1;-1,724;0,06;"9"
"698";1;-1,401;-0,218;"9"
"699";1;0,939;0,96;"9"
"700";1;1,096;-0,889;"9"
"701";1;-0,148;-0,476;"9"
"702";1;-0,001;0,082;"9"
"703";0;-0,758;1,139;"9"
"704";1;-0,999;-0,321;"9"
"705";1;-0,094;-1,07;"9"
"706";0;-0,96;1,188;"9"
"707";1;1,793;0,439;"10"
"708";0;-0,225;0,113;"10"
"709";0;1,294;-0,825;"10"
"710";1;0,212;1,796;"10"
"711";0;-0,554;-1,368;"10"
"712";0;0,669;0,759;"10"
"713";1;0,382;0,958;"10"
"714";0;-1,451;0,852;"10"
"715";0;-1,545;-1,133;"10"
"716";0;0,986;0,543;"10"
"717";0;0,704;-0,486;"10"
"718";1;1,694;0,323;"10"
"719";0;0,988;-0,324;"10"
"720";0;-0,43;0,55;"10"
"721";0;0,401;-0,199;"10"
"722";1;0,502;-0,131;"10"
"723";0;1,022;0,44;"10"
"724";0;-1,379;0,575;"10"
"725";0;-1,394;0,452;"10"
"726";0;-1,637;-0,556;"10"
"727";0;-0,656;-0,253;"10"
"728";0;-2,007;1,796;"10"
"729";0;-0,448;-0,494;"10"
"730";0;-1,682;1,607;"10"
"731";0;0,242;-0,862;"10"
"732";0;0,458;-0,898;"10"
"733";1;0,227;0,295;"10"
"734";0;1,037;1,407;"10"
"735";0;-1,577;-1,123;"10"
"736";0;1,349;-0,84;"10"
"737";0;-0,434;-1,032;"10"
"738";0;-0,587;1,893;"10"
"739";0;0,726;0,64;"10"
"740";1;-0,932;0,726;"10"
"741";0;1,18;-0,392;"10"
"742";0;-1,798;-1,294;"10"
"743";0;-0,321;-0,548;"10"
"744";0;-0,113;0,762;"10"
"745";1;0,034;1,121;"10"
"746";0;-0,958;0,97;"10"
"747";1;0,297;-0,445;"10"
"748";1;-1,101;-0,405;"10"
"749";0;0,299;0,578;"10"
"750";0;0,017;1,2;"10"
"751";0;0,344;-1,904;"10"
"752";0;0,6;-0,05;"10"
"753";0;0,356;-2,315;"10"
"754";0;-0,945;-0,372;"10"
"755";0;-2,093;0,066;"10"
"756";0;-0,546;-1,017;"10"
"757";0;-1,838;-0,468;"10"
"758";0;0,71;-0,12;"10"
"759";0;0,813;-0,99;"10"
"760";0;-0,491;-1,42;"10"
"761";0;-0,314;-0,93;"10"
"762";0;-0,857;-0,069;"10"
"763";0;-0,434;0,069;"10"
"764";1;-0,488;1,828;"10"
"765";0;-0,841;-0,516;"10"
"766";1;0,856;0,611;"11"
"767";0;0,303;0,427;"11"
"768";1;1,052;-0,398;"11"
"769";1;0,251;-0,642;"11"
"770";0;-0,471;0,495;"11"
"771";1;-1,156;-0,81;"11"
"772";0;-1,166;3,586;"11"
"773";1;0,479;0,87;"11"
"774";1;-1,068;0,458;"11"
